date,aqi,pm25,pm10,temperature_max,temperature_min,precipitation,wind_speed,pressure,temperature,humidity,pressure_weather,wind_speed_weather,precipitation_weather,ocean_temp,salinity,chlorophyll,current_speed,wave_height,region,pollution_level
2024-01-03 18:37:18.171099,94.68345119731848,33.9478304681442,64.35442062893385,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-04 18:37:18.171099,89.3615662424546,46.14868398736702,49.706348319165336,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-05 18:37:18.171099,89.78802035238334,32.741870168200585,47.015782416633506,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-06 18:37:18.171099,70.85146446512658,40.108741691179645,49.15625242900744,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-07 18:37:18.171099,86.49192724194086,36.0284285932216,67.31680844220003,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-08 18:37:18.171099,99.60343479604848,35.32797608970789,54.75920777049615,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-09 18:37:18.171099,87.60671124344786,30.82662095113867,53.051094847221094,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-10 18:37:18.171099,92.98689860723772,44.87788924035739,54.077378667049544,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-11 18:37:18.171099,98.47411886810208,39.60504922386487,61.46079044883863,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-12 18:37:18.171099,76.61012025061387,23.550499528937493,54.67253285901807,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-13 18:37:18.171099,99.47315644068806,36.9723068157168,58.46073008339955,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-14 18:37:18.171099,94.42671927855744,46.9753096010282,62.31655858533437,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-15 18:37:18.171099,70.71099279864028,30.541912057486755,52.97283175926692,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-16 18:37:18.171099,79.88993047461952,35.516863175581285,54.137085166239906,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-17 18:37:18.171099,82.67215225751781,30.642732751841685,40.314503983835856,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-18 18:37:18.171099,92.45117994456726,37.24796006208102,61.18524889948627,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-19 18:37:18.171099,97.65658093331191,53.31863821693729,65.0580878590331,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-20 18:37:18.171099,80.09545682476542,29.927678697764264,53.17231916676561,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-21 18:37:18.171099,90.58789694783226,47.75755791723921,53.417509517243715,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-22 18:37:18.171099,77.01243109727004,29.679741271542042,48.680922054346496,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-23 18:37:18.171099,78.63007798834687,25.764020044728348,44.737727318908135,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-24 18:37:18.171099,79.81568499011416,33.35479387764953,39.76958293364667,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-25 18:37:18.171099,98.80955284163076,35.14596483157417,84.72755101121672,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-26 18:37:18.171099,114.77173787123239,44.600837003210806,64.57866511218646,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-27 18:37:18.171099,110.37653870702113,42.83293486051633,50.80017512264084,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-28 18:37:18.171099,86.1983499597735,33.040963869740956,53.53871572722261,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-29 18:37:18.171099,100.91337079639501,48.85345079523499,61.38650314946614,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-30 18:37:18.171099,91.98590721362245,36.058569006822104,50.127430803539134,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-01-31 18:37:18.171099,80.98562186136716,29.58293971646518,53.06293169951377,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-01 18:37:18.171099,85.95176063070615,25.237596796510218,57.01359902085853,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-02 18:37:18.171099,89.87552900261788,42.35049369074581,61.384376898751476,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-03 18:37:18.171099,87.23967927795633,47.5080839752539,60.341955738898776,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-04 18:37:18.171099,78.6024259251026,28.148490122256554,43.42686954224927,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-05 18:37:18.171099,79.33271128799112,30.98895029520488,50.57392951584363,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-06 18:37:18.171099,77.13266226095196,22.575457631054963,36.25111138314005,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-07 18:37:18.171099,81.71319304312027,30.827218337268185,37.516791305907866,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-08 18:37:18.171099,101.41277597351976,36.36338301231255,73.26735572447498,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-09 18:37:18.171099,85.30594354470213,29.43230332960159,61.6602487695789,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-10 18:37:18.171099,85.3671892669088,34.07230201363156,52.19362988948629,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-11 18:37:18.171099,91.4877690087822,44.10890994897915,48.81701246849034,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-12 18:37:18.171099,95.95665194269304,45.047532753555735,62.86410131692077,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-13 18:37:18.171099,89.34432638019994,31.69042782726385,51.05988898497202,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-14 18:37:18.171099,76.68264121403266,30.025825460177884,55.69582723993909,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-15 18:37:18.171099,78.33255829464069,37.68353825384517,50.229674564660826,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-16 18:37:18.171099,76.66704207637548,27.857329443033755,43.77609678155231,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-17 18:37:18.171099,83.94414427360975,42.80863354242132,59.753704090058584,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-18 18:37:18.171099,78.47955418892253,35.13365806252197,48.580923367983715,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-19 18:37:18.171099,96.04913952417353,39.81486819400103,63.679782111293754,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-20 18:37:18.171099,84.99700815935356,38.282393867546595,36.74070390978768,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
2024-02-21 18:37:18.171099,82.34084569342525,34.99659084245229,48.197733140755886,20.0,20.0,2.0,5.0,1013.25,20.0,60.0,1013.25,5.0,2.0,15.0,35.0,1.0,0.0,0.0,indian,55.0
